product_name,product_price,product_ram,product_display,product_camera,product_warranty,bettary,processor
"MOTOROLA g73 5G (Lucent White, 128 GB)","18,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5000 mAh Battery,Mediatek Dimensity 930 Processor
"REDMI 10 Power (Sporty Orange, 128 GB)","11,955",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,,6000 mAh Battery,12 Months Warranty
"Infinix HOT 20 Play (Aurora Green, 64 GB)","8,299",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
"Infinix HOT 20 Play (Racing Black, 64 GB)","8,299",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
"Infinix HOT 20 Play (Luna Blue, 64 GB)","8,299",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
"POCO M4 5G (Cool Blue, 128 GB)","14,999",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,1 Year Warranty for Handset and 6 Months for Accessories,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"APPLE iPhone 14 (Starlight, 128 GB)","71,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"POCO X5 Pro 5G (Horizon Blue, 128 GB)","22,999",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,5000 mAh Battery,Qualcomm Snapdragon 778G Processor
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","11,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,1 Year Warranty Provided By the Manufacturer from Date of Purchase,6000 mAh Lithium Ion Battery,Exynos 850 Processor
"REDMI A1 (Light Green, 32 GB)","6,408",2 GB RAM | 32 GB ROM,16.56 cm (6.52 inch) Display,5MP Rear Camera,,5000 mAh Battery,12 months
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","8,299",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","9,249",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,1 Year Warranty Provided by the Manufacturer from Date of Purchase,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"REDMI A1 (Black, 32 GB)","6,400",2 GB RAM | 32 GB ROM,16.56 cm (6.52 inch) Display,5MP Rear Camera,,5000 mAh Battery,12 months
"REDMI A1 (Light Blue, 32 GB)","6,249",2 GB RAM | 32 GB ROM,16.56 cm (6.52 inch) Display,5MP Rear Camera,,5000 mAh Battery,12 months
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","6,299",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
SAMSUNG Guru Music 2,"1,850",NA ROM,5.08 cm (2 inch) NA Display,800 mAh Battery,,0 0 0 208MHz Processor,1 Year Manufacturer Warranty
"POCO M4 5G (Yellow, 128 GB)","14,999",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,1 Year Warranty for Handset and 6 Months for Accessories,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"REDMI 10 (Caribbean Green, 128 GB)","11,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
SAMSUNG GURU MUSIC 2,"2,070",8 MB RAM | 0 GB ROM | Expandable Upto 16 GB,5.08 cm (2 inch) QVGA Display,0MP | 0MP Front Camera,1 Year Manufacturer's Warranty,800 mAh Battery,0 0 0 208MHz Processor
"vivo T1 44W (Midnight Galaxy, 128 GB)","15,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,1 Year Handset and 6 Months Accessories,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
